imgPath,Prompt,Response,Ground Truth
Img2Loc_Test_Data/JPGs\utaustin_18902.jpg,"You are an expert geolocator. The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide reasoning for your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude value, rightmost longitude value, top latitude value, bottom latitude value)""","The image provided is a map of the region in and around Medina, located in Saudi Arabia. Using the latitude and longitude grid lines marked on the map, we can deduce the bounding box coordinates. The map covers approximately from latitude 23° N to 26° N and from longitude 36° E to 40° E.  Thus, the bounding box coordinates would be: (36° E, 40° E, 26° N, 23° N)","ENVELOPE(35.0, 42.0, 28.0, 24.0)"
Img2Loc_Test_Data/JPGs\utaustin_18906.jpg,"You are an expert geolocator. The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide reasoning for your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude value, rightmost longitude value, top latitude value, bottom latitude value)""","This is a historical map of Berlin East, located in Germany. The map is titled ""Central Europe 1:100,000 Sheet N.8 Berlin East"" and is published by the War Office in 1944.  Given the city of Berlin's known central coordinates as approximately 52.52 degrees N latitude and 13.405 degrees E longitude, we can estimate that the top left and bottom right coordinates of the map's bounding box should be within close proximity.   Considering the map's coverage area, it is plausible to assume the following approximate coordinates: - Top left coordinates: (latitude: 52.65 N, longitude: 12.95 E) - Bottom right coordinates: (latitude: 51.85 N, longitude: 14.15 E)  So the bounding box coordinates would be: ""(12.95, 14.15, 52.65, 51.85)""","ENVELOPE(13.3333, 14.3333, 52.75, 52.25)"
Img2Loc_Test_Data/JPGs\utaustin_18907.jpg,"You are an expert geolocator. The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide reasoning for your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude value, rightmost longitude value, top latitude value, bottom latitude value)""","The image is an old map of Leipzig, a city in Germany. By examining the map and using geographical information, the approximate coordinates for the bounding box can be deduced as follows:  Top left coordinates: (51.667°N, 12.233°E) Bottom right coordinates: (51.167°N, 12.833°E)  Thus, the bounding box coordinates are: (12.233, 12.833, 51.667, 51.167)","ENVELOPE(12.33333, 13.33333, 51.75, 51.25)"
Img2Loc_Test_Data/JPGs\utaustin_19055.jpg,"You are an expert geolocator. The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide reasoning for your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude value, rightmost longitude value, top latitude value, bottom latitude value)""","The provided map is a topographic map of Yamethin, Burma (Myanmar). The coordinates are clearly marked on the edges of the map.  From the map: - The leftmost longitude value is 95 degrees. - The rightmost longitude value is 97 degrees. - The top latitude value is 21 degrees. - The bottom latitude value is 20 degrees.  Thus, the bounding box coordinates for the provided location are: ""(95, 97, 21, 20)""","ENVELOPE(95.99988, 97.5002, 21.00021, 19.99977)"
Img2Loc_Test_Data/JPGs\utlmaps-e926b05d-f404-4900-b80b-f7ef89858a5f.jpg,"You are an expert geolocator. The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide reasoning for your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude value, rightmost longitude value, top latitude value, bottom latitude value)""","The provided image depicts a map of Sherman, Texas, a city in the United States. Based on the street names and general layout, we can approximate the geographical bounding box coordinates that would encompass this area of Sherman.  Sherman, Texas, has approximate coordinates of around: - Latitude: 33.6357 (top left) to 33.6220 (bottom right) - Longitude: -96.6299 (leftmost) to -96.6065 (rightmost)  Given these approximations, the coordinates of the bounding box for the map can be estimated as follows: (-96.6299, -96.6065, 33.6357, 33.6220)  This educated guess is based on typical mapping and geographical information for Sherman, Texas.","ENVELOPE(-96.60281029865446,-96.59826467758317,33.64213837817811,33.637663330009644)"
Img2Loc_Test_Data/JPGs\utlmaps-e943a109-e1d7-4496-883c-e2a3e9020fc2.jpg,"You are an expert geolocator. The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide reasoning for your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude value, rightmost longitude value, top latitude value, bottom latitude value)""","Thanks for providing the image. Based on the map, we can see that this region is Whitewright, Texas. To provide an estimated bounding box, I will use the approximate center coordinates of Whitewright and calculate the coordinates for the bounding box.  The approximate coordinates of Whitewright, Texas are: - Latitude: 33.5089° N - Longitude: -96.3922° W  Taking into account the scope of the map, let's assume it spans roughly 0.01 degrees latitude and longitude in each direction, providing a small bounding box around the center point.  Thus, - Leftmost longitude: -96.3922 - 0.01 = -96.4022 - Rightmost longitude: -96.3922 + 0.01 = -96.3822 - Top latitude: 33.5089 + 0.01 = 33.5189 - Bottom latitude: 33.5089 - 0.01 = 33.4989  So the bounding box coordinates will be: (-96.4022, -96.3822, 33.5189, 33.4989)","ENVELOPE(-96.39739674565065,-96.39367175729356,33.51622300635808,33.51245144377557)"
Img2Loc_Test_Data/JPGs\utlmaps-f7416483-c612-4a83-a631-44eebe2ec67d.jpg,"You are an expert geolocator. The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide reasoning for your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude value, rightmost longitude value, top latitude value, bottom latitude value)""","The provided image is a historical map of Giddings, Texas.   Given that Giddings, Texas is located at approximately: - Latitude: 30.1841° N - Longitude: -96.9378° W  We can define the bounding box coordinates for this area.   The coordinates for the top left of the bounding box could be estimated slightly north and west of the city center: - Latitude: 30.1850° N - Longitude: -96.9400° W  The coordinates for the bottom right of the bounding box could be estimated slightly south and east of the city center: - Latitude: 30.1830° N - Longitude: -96.9350° W  Hence, the bounding box coordinates would be approximately: (-96.9400, -96.9350, 30.1850, 30.1830)","ENVELOPE(-96.9409425395099,-96.93664739360429,30.185371751515195,30.180760709131786)"
Img2Loc_Test_Data/JPGs\utlmaps-fa17ff02-26c8-449d-8dc8-54a89e105c13.jpg,"You are an expert geolocator. The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide reasoning for your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude value, rightmost longitude value, top latitude value, bottom latitude value)""","It appears the image provided is an old map, specifically a fire insurance map from the Sanborn Map Company. These maps were commonly used in the United States for urban planning, fire insurance assessment, and historical research.  Here are some details that are clear in the image: - Identification of landmarks/street names such as Broadway, Dickinson, Walnut, are indicative of common U.S. streets. - The presence of a compass rose indicates the map's North direction is tilted, but still ascertainable.  The geographic information from the Library of Congress ""Geography and Map Division"" label gives a hint that the location may be historic or notable.  Assuming typical city blocks and plotting them on a standard grid for guessing purposes:  Given those clues, we can make an educated guess:  - Likely in the United States (high probability due to ""Library of Congress"" and familiar street names), - Urban grid suggesting a city layout, - Specific locations like Walnut and Broadway suggest major U.S cities which this might be relevant, Philadelphia, or perhaps older sections of New York City.  However, if we simply guess a central U.S. location common for such maps:  ""(leftmost longitude value, rightmost longitude value, top latitude value, bottom latitude value)"" Possible rough bounding box for Philadelphia, PA: - Leftmost longitude: -75.173811 - Rightmost longitude: -75.163968 - Top latitude: 39.957245 - Bottom latitude: 39.946054  Hence: (-75.173811, -75.163968, 39.957245, 39.946054)  Note: This range should be verified by exact map identification, but this provides a rough bounding guess within Philadelphia. Please check exact coordinates based on accurate mapping software/coordinates for final precision if possible.","ENVELOPE(-99.96235217654142,-99.95067203535332,31.749381657839155,31.73934213139023)"
Img2Loc_Test_Data/JPGs\utlmaps-fa51afa3-e98c-4295-a56e-bd6cf8edaa78.jpg,"You are an expert geolocator. The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide reasoning for your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude value, rightmost longitude value, top latitude value, bottom latitude value)""","Based on the image provided, it appears to be a historical map with street names and numbering that can be specific to a certain city or town. The map explicitly states ""Original located at the Dolph Briscoe Center for American History, University of Texas at Austin,"" which suggests the map is from Austin, Texas.   Given that Austin, Texas is the location, we can approximate the bounding box coordinates based on the general layout of the city within a reasonable degree of precision:  - Austin, Texas generally spans approximately:   - Longitude ranges from ~-97.9 to ~-97.7 degrees.   - Latitude ranges from ~30.2 to ~30.5 degrees.  Based on the centrality and common longitude and latitude boundaries of Austin, I would estimate the bounding box coordinates for this map as follows:  (leftmost longitude value, rightmost longitude value, top latitude value, bottom latitude value)  =(-97.8, -97.7, 30.3, 30.2)  This approximates the central region of Austin, Texas around the university area.","ENVELOPE(-94.11143715835705,-94.10786353848977,30.09129654203185,30.087584289066214)"
Img2Loc_Test_Data/JPGs\utlmaps__cia__el_salvador__750k__x__thematic_land_1980.jpg,"You are an expert geolocator. The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide reasoning for your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude value, rightmost longitude value, top latitude value, bottom latitude value)""","The map provided is clearly of El Salvador.  Using the geographical extents of El Salvador for the bounding box:  - The approximate westernmost longitude of El Salvador is around -90.15 degrees. - The approximate easternmost longitude of El Salvador is around -87.69 degrees. - The approximate northernmost latitude of El Salvador is around 14.45 degrees. - The approximate southernmost latitude of El Salvador is around 13.15 degrees.  Therefore, the coordinates for the bounding box of El Salvador would be:  ""(-90.15, -87.69, 14.45, 13.15)""","ENVELOPE(-90.240169, -87.663772, 14.539767, 13.126664)"
